Participant No.,ID,Status,Date,Start time [hh:mm],Age[y],Age group,Sex,Weather,Season,Data loss [%],Lab light sequence
84,SP084,Included,28/01/2022,10:18,21,18-24,Male,Cloudy,Winter,40.38997214,RWGB
85,SP085,Included,03/02/2022,09:00,26,25-34,Male,Sunny,Winter,36.77130045,RWBG
86,SP086,Excluded after trial,03/02/2022,11:40,24,18-24,Female,Somewhat cloudy,Winter,100,GRBW
87,SP087,Included,03/02/2022,13:58,45,45-54,Male,Somewhat cloudy,Winter,56.21621622,GRWB
88,SP088,Excluded after trial,04/02/2022,09:25,25,25-34,Male,Very cloudy,Winter,51.89873418,GBRW
89,SP089,Included,04/02/2022,11:42,22,18-24,Male,Cloudy,Winter,41.71270718,GBWR
90,SP090,Included,07/02/2022,10:51,24,18-24,Female,Sunny,Winter,54.94505495,GWRB
91,SP091,Included,17/02/2022,14:02,19,18-24,Female,Very cloudy,Winter,35.73264781,GWBR
92,SP092,Included,18/02/2022,11:47,24,18-24,Male,Sunny,Winter,36.16438356,BRGW
93,SP093,Included,18/02/2022,13:44,19,18-24,Female,Very cloudy,Winter,45.04021448,BRWG
94,SP094,Excluded after trial,21/02/2022,12:06,23,18-24,Female,Very cloudy,Winter,73.57859532,BGRW
95,SP095,Included,24/02/2022,09:41,26,25-34,Female,Sunny,Winter,52.83018868,BGWR
96,SP096,Included,24/02/2022,14:49,18,18-24,Female,Very cloudy,Winter,44.71544715,BWRG
97,SP097,Included,25/02/2022,08:26,20,18-24,Male,Sunny,Winter,46.55647383,BWGR
98,SP098,Included,25/02/2022,10:09,24,18-24,Female,Sunny,Winter,37.29281768,WRGB
99,SP099,Excluded after trial,25/02/2022,14:50,18,18-24,Female,Very cloudy,Winter,100,WRBG
100,SP100,Included,28/02/2022,12:34,21,18-24,Female,Sunny,Winter,41.89189189,WGRB
101,SP101,Included,28/02/2022,14:09,34,25-34,Female,Sunny,Winter,52.8,WGBR
102,SP102,Excluded after trial,10/03/2022,09:47,25,25-34,Female,Sunny,Spring,100,WBRG
103,SP103,Excluded after trial,10/03/2022,11:45,18,18-24,Male,Sunny,Spring,100,WBGR
104,SP104,Excluded after trial,10/03/2022,13:56,19,18-24,Female,Sunny,Spring,100,RGBW
105,SP105,Excluded after trial,14/03/2022,11:40,47,45-54,Female,Sunny,Spring,100,RGWB
106,SP106,Excluded after trial,21/03/2022,15:56,34,25-34,Female,Somewhat cloudy,Spring,85.47717842,RBGW
107,SP107,Excluded before trial,24/03/2022,12:18,38,35-44,Male,NA,Spring,100,NA
108,SP108,Included,25/03/2022,12:57,18,18-24,Female,Sunny,Spring,27.70448549,RBWG
109,SP109,Included,31/03/2022,07:50,54,45-54,Female,Light rain,Spring,41.33333333,RWGB
110,SP110,Included,31/03/2022,09:34,42,35-44,Male,Very cloudy,Spring,60.75949367,RWBG
111,SP111,Included,01/04/2022,13:56,32,25-34,Female,Light rain,Spring,35.55555556,GRBW
112,SP112,Included,04/04/2022,12:22,77,>64,Female,Sunny,Spring,25.26041667,GRBW
113,SP113,Included,07/04/2022,11:51,67,>64,Female,Light rain,Spring,19.71830986,GRWB
